name,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,lcd,pld,void_fraction,surface_area_m2g,surface_area_m2cm3,number_H,number_C,number_N,number_O,number_F,number_Cl,number_V,number_Cu,number_Zn,number_Br,number_Zr,adsorption,number_Metal,number_1,number_2
hMOF-5044212,14.044191,15.995292,13.101039,93.364742,86.337551,88.330196,5.75,4.75,0.516409,1943.7,1601.8,32,52,20,16,0,0,0,0,4,0,0,0.947521,4,20,84
hMOF-5047820,14.853567,15.944551,13.930277,89.994493,89.995755,83.566834,10.75,9.75,0.795147,4144.9,2155.1,33,46,13,8,0,0,0,0,2,0,0,1.00474,2,10,79
hMOF-1002941,6.8179,16.015009,16.015572,60.346181,104.485554,104.487874,4.75,3.75,0.662987,1230.6,1846.9,13,40,0,10,0,0,2,0,0,7,0,5.4015,2,12,53
hMOF-6942,13.032891,12.759399,12.759393,89.971563,97.193727,97.178319,8.25,5.75,0.688937,3224.2,2405.3,36,36,0,13,0,0,0,0,4,0,0,2.48539,4,17,72
hMOF-7000186,18.426585,14.560438,14.560438,59.997876,90.001817,59.999703,6.75,3.75,0.424657,1057.2,1357.6,14,60,0,32,18,0,0,0,0,0,6,3.16023,6,38,74
hMOF-7000041,15.698487,12.970454,12.970454,60.000396,90.001156,60.000052,8.75,7.25,0.495306,611,1100.9,15,46,0,32,0,0,0,0,0,5,6,2.70691,6,38,61
hMOF-5046427,15.944551,19.288865,18.366186,90.011479,90.004555,83.317493,14.25,13.25,0.804231,4854.4,2000.9,11,69,21,8,0,0,0,0,2,0,0,0.553918,2,10,80
hMOF-25856,14.853567,9.065218,8.140239,90.002802,90.000276,95.674592,1.75,1.25,0.00273463,0,0,40,56,4,16,0,0,0,0,4,0,0,0,4,20,96
hMOF-6000776,6.8179,14.858329,14.858572,94.733148,104.524003,104.519616,11.75,11.25,0.78519,4537,2454.8,0,16,0,10,0,0,2,0,0,0,0,0.306688,2,12,16
hMOF-14015,21.395362,21.395361,21.395355,90.019049,89.95606,89.953589,22.25,20.25,0.900836,4497.4,1381.6,19,60,0,13,0,17,0,0,4,0,0,0.933798,4,17,79
hMOF-5023678,19.805407,21.295417,19.805399,90.029796,90.019573,90.029702,10.25,5.75,0.753067,4383.4,2645.9,48,96,64,26,0,0,0,0,8,0,0,0.876975,8,34,144
hMOF-24422,10.654551,9.730223,10.65455,90.000193,84.485087,89.999649,6.25,4.75,0.483856,702.4,1049.4,6,44,14,8,0,0,0,0,2,0,0,3.44002,2,10,50
hMOF-5074275,16.992694,17.038272,15.455313,92.85837,87.142206,90.88989,5.75,4.75,0.702829,2301.3,2273.9,24,80,12,16,0,28,0,4,0,0,0,3.94412,4,20,104
hMOF-26171,16.992694,14.853567,16.053802,92.572962,87.249047,87.151577,11.75,10.25,0.769463,3413.4,1903.4,68,64,6,19,0,0,0,0,2,0,0,1.31068,2,21,132
hMOF-32393,16.176319,17.699083,17.699083,83.283015,90.007696,90.000958,16.75,15.25,0.85587,4766.7,1666.8,24,44,2,22,0,0,0,2,0,0,0,0.414606,2,24,68
hMOF-6003740,6.8179,16.255661,16.255699,95.343798,103.489404,103.488922,9.25,8.25,0.618758,2819.6,1990.3,19,28,7,10,0,0,2,0,0,0,0,0.699508,2,12,47
hMOF-5039934,14.044191,14.04422,13.101039,86.332523,86.339405,86.809673,3.75,2.75,0.151626,65.9,101.7,24,80,8,48,0,0,0,0,8,0,0,0.140229,8,56,104
hMOF-5061274,14.519709,9.065218,7.540329,90.001757,89.997345,84.348015,8.75,7.75,0.743892,3642.1,2616,0,12,2,8,0,0,0,2,0,0,0,0.332385,2,10,12
hMOF-821,12.759399,17.077404,17.077396,90.021457,89.974693,89.985345,12.25,10.75,0.747481,3565.9,2069.5,54,54,0,21,0,0,0,0,4,0,0,1.8756,4,25,108
hMOF-5015878,16.12049,12.594516,16.120297,92.876309,90.129683,87.104371,4.75,3.25,0.433756,843.5,896.2,92,88,0,26,0,0,0,0,8,0,0,3.88167,8,34,180
hMOF-9860,12.827893,14.90852,12.827885,93.263516,89.980728,93.320575,10.25,8.25,0.748006,3511.8,2270.5,26,30,0,19,0,0,0,0,4,0,0,1.46331,4,23,56
hMOF-5034666,8.597339,11.792241,7.681481,84.218353,76.526797,95.232808,3.25,1.75,0.0820083,0,0,8,20,4,16,0,0,0,0,4,0,0,0.110278,4,20,28
hMOF-5033641,11.792241,10.65455,9.730223,90.004253,89.999084,84.339173,7.25,6.25,0.691961,2918.5,2315.1,18,23,2,8,0,0,0,0,2,0,0,1.51533,2,10,41
hMOF-5076514,16.992694,19.18893,15.455313,92.650876,87.142206,86.906503,16.25,14.75,0.864356,4419.9,1718.3,16,40,10,8,0,8,0,2,0,0,0,0.596685,2,10,56
hMOF-16764,10.654556,9.730223,10.65455,89.997176,95.513766,90.001831,6.75,6.25,0.549379,1657.7,1662.7,7,25,7,8,0,0,0,0,2,0,0,1.55723,2,10,32
hMOF-5044304,15.99535,15.99535,15.07222,90.008851,90.001101,96.507625,13.25,12.25,0.795283,5076.6,2270.4,72,56,2,8,0,0,0,0,2,0,0,1.23374,2,10,128
hMOF-5017783,8.497374,8.497374,18.050591,90.009569,90.002899,90.005237,7.25,6.25,0.660377,2661.8,2529,3,18,0,13,3,0,0,0,4,0,0,2.76944,4,17,21
hMOF-29762,19.288864,16.992695,17.766277,89.99369,89.976791,86.902234,16.75,15.75,0.860238,4914.6,1684,32,50,4,24,0,0,0,2,0,0,0,0.454009,2,26,82
hMOF-5045950,10.489741,14.04422,13.101018,93.6644,86.605995,88.864026,11.25,10.25,0.756018,4630.4,2436.4,10,22,2,11,0,0,0,0,2,0,0,0.350125,2,13,32
hMOF-5053506,15.944557,18.266242,15.944551,90.006078,96.499947,89.992907,6.25,3.75,0.655159,2897.9,2051.7,80,100,12,16,0,0,0,0,4,0,0,2.68425,4,20,180
hMOF-19511,17.699083,16.053802,17.699083,87.44059,83.283015,92.569971,6.25,4.25,0.427687,1021.7,1137.1,27,126,12,24,45,0,0,0,6,0,0,3.23018,6,30,153
hMOF-24655,17.699077,10.654545,16.776229,89.995723,89.993415,83.883002,9.25,8.25,0.708401,2634.1,1869.4,96,80,2,8,0,0,0,0,2,0,0,3.57332,2,10,176
hMOF-1003349,12.970454,14.560438,14.560438,60.005799,89.997944,59.998787,5.25,4.25,0.339376,187.8,459.8,25,62,0,32,0,0,0,0,0,13,6,1.8705,6,38,87
hMOF-5039391,14.04422,16.992694,16.053802,92.750953,92.799619,88.07145,6.25,4.75,0.643694,2403.7,1996.4,64,78,12,30,0,0,0,0,4,0,0,3.65427,4,34,142
hMOF-34603,16.992701,10.65455,15.455313,92.692163,87.136501,87.576036,9.25,8.25,0.777224,3010.2,2025.9,70,60,6,8,0,0,0,2,0,0,0,4.83551,2,10,130
hMOF-5046540,15.944551,8.140239,9.065218,90.001686,95.742688,90.001769,7.75,6.25,0.641534,2204.8,2332,3,18,2,8,0,0,0,0,2,3,0,0.964734,2,10,21
hMOF-5052826,19.188925,19.18893,13.596369,89.988893,89.993722,83.143665,6.25,5.25,0.515868,1746.2,1482.7,48,108,30,24,0,0,0,0,6,0,0,1.30227,6,30,156
hMOF-5006241,21.395362,16.120484,21.395355,92.880721,89.95606,92.9424,13.75,12.75,0.827272,5143.2,1985.5,92,81,0,24,0,0,0,0,4,0,0,1.04881,4,28,173
hMOF-5076651,19.188925,19.18893,17.666332,90.011603,90.010303,83.143665,15.25,13.75,0.880456,4631.6,1696.4,84,74,14,8,0,0,0,2,0,0,0,1.65158,2,10,158
hMOF-8713,8.497374,13.032831,13.032721,89.097115,97.169095,97.172717,8.75,7.25,0.680796,2739.9,2337.2,20,20,0,13,0,0,0,0,4,0,0,2.95595,4,17,40
hMOF-2384,19.805405,17.077404,17.077396,89.980499,89.96835,90.026635,7.25,5.75,0.696306,3085.6,2346.2,88,108,0,46,0,0,0,0,8,0,0,3.30206,8,54,196
hMOF-5071914,15.944545,15.944551,15.455313,92.664316,87.321378,83.497455,9.75,8.25,0.729962,4227.2,2254,86,71,4,8,0,0,0,2,0,0,0,2.23215,2,10,157
hMOF-5062046,8.559649,14.519709,7.088929,83.763835,95.325015,76.729405,3.25,2.25,0.0459698,1.4,2.6,8,24,4,22,0,0,0,4,0,0,0,0.00652067,4,26,32
hMOF-5018206,12.759395,18.050589,18.050582,89.981795,89.987476,90.029758,11.25,10.25,0.786071,4100,2309.3,20,44,28,13,0,0,0,0,4,0,0,1.10707,4,17,64
hMOF-5032166,13.897449,29.839131,13.897441,89.964857,89.979267,90.0427,7.75,6.25,0.737331,1855.5,2103.3,12,100,4,34,0,0,0,0,8,20,0,1.59417,8,42,112
hMOF-19132,19.288864,16.992695,18.366186,89.993794,89.977106,86.902234,7.25,6.25,0.715581,2702.8,2392.1,26,100,8,16,0,38,0,0,4,0,0,2.69953,4,20,126
hMOF-5006553,16.12049,16.120484,11.169409,87.13927,92.919204,90.1641,12.25,11.25,0.839,4940.7,2181.3,4,20,4,13,0,0,0,0,4,0,0,0.483106,4,17,24
hMOF-5073677,10.65455,17.038272,9.130313,89.995195,89.999724,87.798243,3.25,1.75,0.0488743,0,0,36,56,4,30,0,0,0,4,0,0,0,0.00483639,4,34,92
hMOF-5069732,16.109301,10.489741,14.586319,89.996488,89.999213,84.000327,11.75,10.75,0.733374,3658.7,2063.4,7,37,9,8,0,0,0,2,0,0,0,0.417548,2,10,44
hMOF-5038723,19.288864,14.04422,18.366186,89.993222,89.977106,88.162561,16.25,15.25,0.858736,5460.5,1855.2,26,44,2,19,0,0,0,0,2,0,0,0.437133,2,21,70
hMOF-6004088,6.8179,17.110477,17.110486,96.939211,99.060439,99.060298,13.75,12.75,0.819749,1501.5,1578.6,13,32,0,10,0,0,2,0,0,7,0,1.46364,2,12,45
hMOF-12125,10.68622,12.759394,10.686551,94.406554,89.691918,94.396533,6.25,4.75,0.638496,2350.1,2316.6,18,24,6,13,0,0,0,0,4,0,0,2.8423,4,17,42
hMOF-8667,8.497374,12.827893,12.827885,90.019272,89.98276,89.998937,9.25,8.75,0.718774,2978.8,2397.5,8,14,0,15,0,0,0,0,4,0,0,1.27356,4,19,22
hMOF-5076401,17.699083,19.188924,16.176319,89.991125,89.998611,83.21249,16.75,15.75,0.86993,5335,1721.4,48,56,6,8,0,0,0,2,0,0,0,0.687338,2,10,104
hMOF-5059719,11.792241,16.992695,15.455313,87.152573,87.304628,92.569181,5.75,4.25,0.569573,1871.1,1742.8,20,72,24,16,0,0,0,4,0,0,0,2.4132,4,20,92
hMOF-28475,19.288862,14.586319,19.288865,90.009016,96.864237,89.979846,6.75,4.75,0.721996,4285.3,2852.2,56,96,4,40,0,0,0,4,0,0,0,1.63176,4,44,152
hMOF-30091,17.699083,15.455313,17.699083,92.658725,83.282848,87.324896,15.75,14.75,0.829882,3802.2,1740.1,10,42,4,8,0,14,0,2,0,0,0,0.450388,2,10,52
hMOF-4412,12.759401,11.169416,11.169409,89.969126,89.979897,90.010767,5.75,4.75,0.565225,1668,1736.6,24,34,0,19,0,0,0,0,4,0,0,3.3947,4,23,58
hMOF-5067733,15.995292,14.47231,19.288865,90.006324,83.302432,90.014199,13.75,12.75,0.790579,4833.1,2055.6,36,44,2,26,0,0,0,2,0,0,0,0.411482,2,28,80
hMOF-5002492,16.959455,13.897447,16.959447,90.028096,90.014322,90.016477,12.75,11.75,0.857777,4593.5,2003.9,20,42,4,13,0,0,0,0,4,0,0,0.653735,4,17,62
hMOF-5046656,16.109301,15.944551,15.186229,89.995303,89.999362,83.480109,13.25,12.25,0.852007,5002.2,2196.5,10,34,2,8,0,0,0,0,2,4,0,0.325796,2,10,44
hMOF-5004310,12.827893,16.625545,12.827885,89.967039,90.019272,89.975993,4.75,3.25,0.28097,239.7,485.4,9,60,0,39,0,0,0,0,12,15,0,1.86049,12,51,69
hMOF-1003614,20.875621,21.606444,21.606444,59.998659,87.030131,58.31715,13.75,12.75,0.730055,1732.3,1908.4,24,88,2,32,0,0,0,0,0,30,6,0.704803,6,38,112
hMOF-5028189,14.908795,25.639239,14.908308,86.738311,90.211334,93.329434,12.25,10.25,0.848858,4082.4,1980.1,88,84,2,17,0,0,0,0,4,0,0,1.61593,4,21,172
hMOF-5009640,18.215407,12.64533,18.215399,90.02303,90.019833,90.01814,5.25,3.75,0.332667,438.6,796.3,36,102,0,39,0,0,0,0,12,24,0,1.68089,12,51,138
hMOF-5019970,19.121063,21.395364,21.395355,89.975484,92.42074,92.464759,20.75,19.75,0.90621,5255.8,1382.9,34,56,0,26,0,0,0,0,4,0,0,0.565238,4,30,90
hMOF-5032005,29.839131,16.959455,16.959447,90.023646,89.966085,89.963588,16.25,14.75,0.900482,4733.9,1550.4,46,74,16,17,0,0,0,0,4,0,0,0.812697,4,21,120
hMOF-5018057,12.759401,18.050589,12.759393,89.969379,89.981504,90.028382,8.25,7.25,0.751107,3307.3,2341,62,60,0,13,0,0,0,0,4,0,0,3.94804,4,17,122
hMOF-17672,10.65455,16.109301,9.730223,89.994178,89.999957,83.973206,6.75,4.75,0.62638,1932.5,1869.5,32,54,2,8,0,0,0,0,2,0,0,4.4673,2,10,86
hMOF-5080655,15.944545,22.010155,15.944551,90.003301,96.502545,90.005679,7.75,2.75,0.575702,1507.4,1916.5,20,104,8,24,0,0,0,4,0,28,0,1.14342,4,28,124
hMOF-5013164,18.101398,16.625546,16.625539,90.028532,89.9776,89.982266,8.25,6.25,0.763227,4902.5,3000.1,24,60,0,36,0,0,0,0,8,0,0,0.782466,8,44,84
hMOF-37197,19.288864,19.288855,17.766277,90.008954,89.976791,96.865756,4.25,3.25,0.2755,153.4,234.3,84,224,8,32,0,60,0,8,0,0,0,2.03091,8,40,308
hMOF-3000796,27.435584,27.434948,27.431174,60.005483,60.011353,59.993028,22.75,19.25,0.903242,4126.8,1316.7,19,50,8,32,0,0,0,0,8,13,0,0.208259,8,40,69
hMOF-5025101,13.897449,21.295417,21.295411,89.978356,89.976615,90.031786,9.25,7.75,0.731726,3287,2422.3,12,76,16,26,0,20,0,0,8,0,0,1.14974,8,34,88
hMOF-5045836,14.519709,10.489741,13.596369,89.994306,90.000291,84.109659,11.25,10.25,0.758274,4374.4,2260.5,6,22,8,8,0,0,0,0,2,0,0,0.269485,2,10,28
hMOF-5067038,10.654541,10.540539,9.130307,89.998824,89.999822,84.50471,5.25,4.25,0.492739,349.8,636.1,14,52,16,8,0,0,0,2,0,0,0,2.62077,2,10,66
hMOF-5028425,12.759395,25.63924,25.639234,90.032088,90.01712,90.032603,16.25,14.75,0.831503,4275.1,1951.3,110,111,4,34,0,0,0,0,4,0,0,2.17707,4,38,221
hMOF-3002106,19.319731,19.31897,19.315557,60.007379,60.01469,59.991495,12.75,10.75,0.772066,4803.8,2485.8,16,26,8,40,0,0,0,8,0,0,0,0.177655,8,48,42
hMOF-5070403,10.489741,11.804365,13.262508,117.325227,84.484564,78.03188,5.25,4.25,0.517028,1313.5,1357.8,29,38,9,8,0,0,0,2,0,0,0,3.80917,2,10,67
hMOF-5042148,11.792241,10.540539,10.868271,90.00225,90.005281,84.359454,9.25,8.25,0.692893,3338.2,2297.2,18,21,2,8,0,0,0,0,2,0,0,0.491139,2,10,39
hMOF-5074727,10.65455,17.038272,9.130313,89.998262,89.99622,87.798229,7.25,5.75,0.742159,2120.6,2015.1,36,36,16,8,0,0,0,2,0,0,0,4.2553,2,10,72
hMOF-5032070,29.839131,17.639617,17.639197,92.177485,78.813192,101.225424,9.75,8.75,0.75492,2592.8,2109.9,34,156,4,34,0,38,0,0,8,0,0,3.1259,8,42,190
hMOF-5065447,14.853568,14.853554,13.330367,90.006681,90.004654,96.367681,11.25,9.75,0.788658,3170.1,2088.8,24,50,20,8,0,0,0,2,0,0,0,1.25667,2,10,74
hMOF-5019438,12.594517,18.050589,12.594509,89.966791,89.978673,90.020334,4.75,3.75,0.417144,727.6,844.9,50,68,14,26,0,0,0,0,8,0,0,3.20612,8,34,118
hMOF-5004774,16.625548,16.625546,16.625539,89.969603,90.020568,89.976464,7.75,5.25,0.618052,2837.8,2331.1,0,72,0,39,0,0,0,0,12,0,0,0.948508,12,51,72
hMOF-5072819,11.792241,15.944551,10.268362,89.993764,89.999626,83.846077,2.75,1.75,0.00492343,0,0,16,88,8,32,0,8,0,8,0,0,0,0,8,40,104
hMOF-5013380,18.101389,16.12049,16.120484,90.1641,92.879328,87.085916,3.75,2.75,0.227474,215.4,280.9,52,132,12,52,0,0,0,0,16,0,0,0.649045,16,68,184
hMOF-5053414,19.18893,19.18893,9.565339,89.995116,89.982583,83.144779,14.25,13.25,0.788728,4434.6,2083.3,22,38,10,15,0,0,0,0,2,0,0,0.416948,2,17,60
hMOF-6557,12.827893,12.827892,12.827885,90.032871,89.983682,89.974292,2.75,2.25,0.00920679,0,0,24,72,0,52,0,0,0,0,16,24,0,0,16,68,96
hMOF-5019960,19.121112,19.121063,21.395355,87.57926,92.462121,90.126867,5.25,3.25,0.510104,1343.8,1476.3,172,208,44,52,0,0,0,0,16,0,0,4.9692,16,68,380
hMOF-2578,19.805407,19.805404,12.759393,89.964359,89.977649,90.031534,15.75,14.75,0.841545,4726.6,1870.1,50,56,0,13,0,0,0,0,4,0,0,1.43563,4,17,106
hMOF-21589,10.654554,10.908878,9.730223,89.999679,89.999646,72.285768,6.25,4.75,0.528856,1606.6,1681.7,16,22,2,15,0,0,0,0,2,0,0,1.87211,2,17,38
hMOF-32926,6.394989,9.065218,7.540329,89.996962,90.000635,94.243202,6.75,5.75,0.539153,1303.4,1763.4,0,6,2,8,0,0,0,2,0,0,0,0.653946,2,10,6
hMOF-3001296,33.510554,33.509711,33.50647,60.004186,60.008358,59.99476,13.25,10.75,0.856585,5986.7,1821.5,96,148,16,110,0,0,0,16,0,0,0,0.235794,16,126,244
hMOF-5037705,14.519709,12.837942,11.892314,93.95632,85.645655,90.745457,8.75,7.25,0.680167,3345,2154.8,32,38,2,13,0,0,0,0,2,0,0,1.2982,2,15,70
hMOF-5083051,27.732048,19.18893,17.666332,90.023234,89.988553,97.106284,9.25,7.75,0.817028,4313.9,2457.1,32,132,24,24,32,0,0,4,0,0,0,1.02048,4,28,164
hMOF-21176,10.723023,10.723022,16.053802,92.591234,87.394764,84.467387,5.25,4.25,0.341382,415,531.6,32,44,8,30,0,0,0,0,4,0,0,1.88849,4,34,76
hMOF-20695,14.971496,14.971482,14.048226,90.00758,90.003149,83.615366,6.25,2.75,0.549829,1181.7,1169.4,70,76,26,16,0,0,0,0,4,0,0,5.02606,4,20,146
hMOF-5037394,14.519709,14.519709,13.596369,90.006934,90.000291,96.319855,4.25,3.75,0.332708,749,920.2,0,80,8,32,0,0,0,0,8,0,0,0.812725,8,40,80
hMOF-5039642,10.723023,14.04419,9.798715,89.992011,89.99677,88.829662,8.75,6.75,0.667056,2946.8,2219.4,22,22,2,14,0,0,0,0,2,0,0,0.799881,2,16,44
hMOF-5068903,15.99535,11.792254,10.268362,89.995475,90.001163,96.154514,9.25,8.25,0.752149,4480.7,2717.8,12,22,2,17,0,0,0,2,0,0,0,0.378512,2,19,34
hMOF-5000865,18.215407,13.897448,13.897449,90.009266,90.005175,90.01814,13.25,12.25,0.865051,5006,1906.4,7,24,3,13,0,0,0,0,4,0,0,0.457813,4,17,31
hMOF-21207,8.559649,10.723022,7.681481,84.204373,94.91324,77.122945,5.75,4.75,0.527306,1195.8,1615,4,10,2,8,0,4,0,0,2,0,0,2.96955,2,10,14
hMOF-6001496,6.8179,11.102289,14.125286,94.650305,100.396688,108.605707,8.25,7.75,0.655017,2210.5,1914.7,8,18,2,10,0,0,2,0,0,0,0,0.850709,2,12,26
hMOF-14462,19.805407,16.959453,19.805399,89.972778,89.975799,90.021973,9.25,5.25,0.764333,4247.3,2647.4,92,122,0,26,0,0,0,0,8,0,0,2.17861,8,34,214
hMOF-5034163,9.065218,11.792241,8.140239,89.996328,89.997198,84.60465,2.25,1.25,1.69E-05,0,0,0,30,6,24,0,0,0,0,6,0,0,0,6,30,30
hMOF-3001127,33.428889,33.428139,33.424847,60.004234,60.008465,59.994972,13.25,10.25,0.87696,5927.6,1793.4,192,196,16,64,0,0,0,16,0,0,0,0.361702,16,80,388
hMOF-5006059,17.077404,16.120444,17.077396,87.130511,90.019501,92.926816,5.75,4.75,0.46699,1063.8,1226.3,87,108,33,39,0,0,0,0,12,0,0,3.48338,12,51,195
hMOF-5024115,12.827893,21.295417,12.827885,90.037053,90.019272,90.029863,11.75,10.25,0.813794,4629.4,2171.6,16,28,4,20,0,0,0,0,4,0,0,0.748661,4,24,44
hMOF-6004953,20.4537,23.752966,11.102315,84.894068,108.606275,79.933465,10.75,9.75,0.692492,2510.8,1830.6,56,104,2,34,0,0,6,0,0,0,0,2.50214,6,40,160
hMOF-5032463,29.839135,29.839131,29.839126,89.970347,89.970753,90.037758,8.25,6.75,0.800833,3343.8,2101.4,392,556,24,100,0,0,0,0,16,0,0,3.21551,16,116,948
hMOF-5067252,14.519731,10.540535,12.99646,89.992517,89.994327,84.106248,4.25,3.25,0.433407,810.8,761.3,24,44,4,16,0,0,0,4,0,0,0,0.692461,4,20,68
hMOF-12971,18.215407,15.297327,18.215399,80.351692,90.019833,99.707397,7.75,5.75,0.693481,2301.8,2354.2,18,80,0,26,0,0,0,0,8,14,0,1.44272,8,34,98
hMOF-5012303,13.033808,18.101395,13.032268,82.853748,76.702628,97.225542,8.75,7.75,0.714424,4335.5,2706.9,8,38,12,13,0,0,0,0,4,0,0,0.785062,4,17,46
hMOF-3001380,33.592126,33.591377,33.588093,60.004089,60.008299,59.994549,24.75,24.25,0.929012,5850.6,886.2,73,74,33,32,0,0,0,8,0,0,0,0.310925,8,40,147
hMOF-5032011,16.959455,29.839131,16.959447,90.041568,90.014322,90.032176,15.75,14.25,0.899246,4806.6,1587.1,32,74,2,31,0,0,0,0,4,0,0,0.980562,4,35,106
hMOF-5005759,13.897449,16.625539,13.897448,89.972451,90.018972,89.980569,6.25,5.25,0.753145,4587,3367.1,0,40,0,26,0,0,0,0,8,0,0,0.98885,8,34,40
hMOF-33749,12.837943,17.699083,11.295675,85.905943,85.469454,90.944023,3.75,2.25,0.316854,46.1,62.7,22,72,4,16,0,18,0,4,0,0,0,0.732288,4,20,94
hMOF-26911,15.538191,17.699083,16.776229,89.999079,90.001809,114.722446,5.75,4.75,0.63065,1967.3,1761.1,84,96,36,16,0,0,0,0,4,0,0,4.76091,4,20,180
hMOF-4692,12.759401,10.686285,12.759393,85.602987,89.979062,85.633237,7.75,5.75,0.693595,3051,2495.6,22,26,0,16,0,0,0,0,4,0,0,2.30658,4,20,48
hMOF-5034797,11.792241,10.723024,9.798715,90.001978,90.000512,95.669357,9.25,8.75,0.735047,3584.9,2370.7,12,16,2,8,0,0,0,0,2,0,0,0.471211,2,10,28
hMOF-5003607,16.625547,16.625545,18.215399,89.973113,89.976077,90.025495,15.25,14.75,0.899007,5574.1,1580.7,2,30,2,13,0,0,0,0,4,0,0,0.506193,4,17,32
hMOF-5045472,9.565339,14.853567,14.853576,96.363293,89.998711,89.999413,8.25,6.25,0.681894,1922.2,1750.2,70,66,2,8,0,0,0,0,2,0,0,5.52427,2,10,136
hMOF-5072552,10.654541,15.944551,9.130307,89.995755,89.999822,83.991333,2.25,1.25,0.00145946,0,0,26,84,4,16,0,0,0,4,0,18,0,0,4,20,110
hMOF-5055209,23.532355,22.610064,23.532407,89.996958,82.838087,90.009453,9.25,5.75,0.735589,3073.7,2238.1,108,240,24,108,0,0,0,0,6,0,0,2.36311,6,114,348
hMOF-1001065,6.8179,9.514072,9.514088,83.785444,118.843545,118.843421,5.75,5.25,0.452741,1111.6,1430,4,8,0,10,0,0,2,0,0,0,0,2.25351,2,12,12
